batch_id	candidate_id	search_id	source_platform	source_title	source_url	download_url	local_path	source_creator	license_name	license_url	category	scene_family	recommended_scene	commercial_use_allowed	derivative_use_allowed	attribution_required	raw_redistribution_allowed	file_sha256	file_size_bytes	duration_seconds	codec	sample_rate	channels	qa_status	qa_notes
batch-05	b05_commons_001	b05_commons_bowl_pd	Wikimedia Commons	File:SingingBowl1.ogg	https://commons.wikimedia.org/wiki/File:SingingBowl1.ogg	https://upload.wikimedia.org/wikipedia/commons/2/25/SingingBowl1.ogg	public/audio/candidates/batch-05/open-audio/01_singingbowl1.ogg	BambooBeast	Public domain	https://commons.wikimedia.org/wiki/Commons:Copyright_tags/General_public_domain	Accent	bowl	meditation	true	true	false	true	01cec5656e84afd074a989ca860d0c37179633429dc5a792a412e6b2cf7a385e	108383	12.80	vorbis	44100	1	candidate	Downloaded for candidate review only. Needs source snapshot, license snapshot, loudness/transient QA, and human listening before any seed or route.
batch-05	b05_commons_002	b05_commons_bowl_pd	Wikimedia Commons	File:SingingBowl2.ogg	https://commons.wikimedia.org/wiki/File:SingingBowl2.ogg	https://upload.wikimedia.org/wikipedia/commons/6/64/SingingBowl2.ogg	public/audio/candidates/batch-05/open-audio/02_singingbowl2.ogg	BambooBeast	Public domain	https://commons.wikimedia.org/wiki/Commons:Copyright_tags/General_public_domain	Accent	bowl	meditation	true	true	false	true	2f3fccb29a9ddb6df742b67aa60b588005fe84e270c93234c1931bf222b2d10e	78819	9.33	vorbis	44100	1	candidate	Downloaded for candidate review only. Needs source snapshot, license snapshot, loudness/transient QA, and human listening before any seed or route.
batch-05	b05_commons_003	b05_commons_bells_pd	Wikimedia Commons	File:Striking a bell 15cm large.ogg	https://commons.wikimedia.org/wiki/File:Striking_a_bell_15cm_large.ogg	https://upload.wikimedia.org/wikipedia/commons/2/2c/Striking_a_bell_15cm_large.ogg	public/audio/candidates/batch-05/open-audio/03_striking_a_bell_15cm_large.ogg	stephan	Public domain	https://commons.wikimedia.org/wiki/Commons:Copyright_tags/General_public_domain	Accent	bell	meditation	true	true	false	true	0a6dbc25677ed02c36024945386c9006172bb870572ec54f25a3197989056163	1513331	60.89	vorbis	44100	2	candidate	Downloaded for candidate review only. Needs source snapshot, license snapshot, loudness/transient QA, and human listening before any seed or route.
batch-05	b05_commons_004	b05_commons_bells_pd	Wikimedia Commons	File:Synthetic bell sound.ogg	https://commons.wikimedia.org/wiki/File:Synthetic_bell_sound.ogg	https://upload.wikimedia.org/wikipedia/commons/4/4f/Synthetic_bell_sound.ogg	public/audio/candidates/batch-05/open-audio/04_synthetic_bell_sound.ogg	Achim55	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Accent	bell	meditation	true	true	false	true	b683707a6ca9f2ecabf7644611eb7b7ac122da078e83bbb490267dbfb7d50024	116918	15.00	vorbis	44100	2	candidate	Downloaded for candidate review only. Needs source snapshot, license snapshot, loudness/transient QA, and human listening before any seed or route.
