batch_id	candidate_id	title	creator	source_local_path	remediated_local_path	source_sha256	remediated_sha256	remediated_file_size_bytes	duration_seconds	codec	sample_rate	channels	original_machine_qa	original_machine_qa_notes	integrated_lufs	sample_peak_dbfs	opening_20s_peak_dbfs	max_100ms_rms_jump_db	clipped_sample_count	interior_silence_100ms_frames	remediation_action	machine_qa	machine_qa_notes	qa_status
batch-07	fma-holizna-meditation-01	20 Minute Meditation 1	HoliznaCC0	public/audio/candidates/batch-07/music/fma_holizna_20_minute_meditation_1.mp3	public/audio/candidates/batch-07/remediated-music/fma_holizna_20_minute_meditation_1.remediated.mp3	f0dcdd8058815cf31dee84996d666e81e595841ed874539fbf920f91e77ff50f	0a1e8be7a06eb2f5d8a3dd0fee5bcd7b5a97a1d2e8d8f8a320a3d5a9e567fdfe	28349923	1279.944979	mp3	48000	2	warn	409 clipped samples; peak 0.02 dBFS; 95 interior silence frames	-18.05	-4	-4	14.21	0	117	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 review copy	warn	117 interior silence frames	candidate_remediation_review
batch-07	fma-holizna-dreamscape	DreamScape	HoliznaCC0	public/audio/candidates/batch-07/music/fma_holizna_dreamscape.mp3	public/audio/candidates/batch-07/remediated-music/fma_holizna_dreamscape.remediated.mp3	77d7ef473cbed4164af43d1a7c8db871be83dfaa819e345517e9a61decb871dc	0ef8e15739adc403b7433c19e81b800362514069ff8a13cd74611dfbbda4ff56	29479003	1319.952979	mp3	48000	2	warn	4943 clipped samples; peak 0.05 dBFS; 76 interior silence frames	-17.53	-1.98	-1.98	16.78	0	96	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 review copy	warn	96 interior silence frames	candidate_remediation_review
batch-07	fma-holizna-rain-sleep	Rain / Sleep / Meditation	HoliznaCC0	public/audio/candidates/batch-07/music/fma_holizna_rain_sleep_meditation.mp3	public/audio/candidates/batch-07/remediated-music/fma_holizna_rain_sleep_meditation.remediated.mp3	52e2f60e4d9113e5af95798ac15e945f606921bdd6237fd74ceba103d66fd615	4c29e1aa32b2c42a9523f87a730a7c9ecf5e3b98d36475cc1b3c3b29ecf1bafc	20059315	875.952979	mp3	48000	2	warn	100ms jump 25.58 dB; 151 interior silence frames	-18.2	-2.01	-2.01	27.18	0	101	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 review copy	warn	100ms jump 27.18 dB; 101 interior silence frames	candidate_remediation_review
batch-07	fma-holizna-cosmic-waves	Cosmic Waves	HoliznaCC0	public/audio/candidates/batch-07/music/fma_holizna_cosmic_waves.mp3	public/audio/candidates/batch-07/remediated-music/fma_holizna_cosmic_waves.remediated.mp3	36b605312a3bf5cd746b0ccfdd700dd96d611401ee8455c0334dea245b26d884	ae4b7fa825677177dd529d043629c556106ee2129219b43f3d3ed944b59baa0d	40355779	1984.536979	mp3	48000	2	warn	100ms jump 41.47 dB	-17.87	-3.46	-6.85	43.72	0	6	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 review copy	warn	100ms jump 43.72 dB	candidate_remediation_review
batch-07	incompetech-meditation-impromptu-01	Meditation Impromptu 01	Kevin MacLeod	public/audio/candidates/batch-07/music/incompetech_meditation_impromptu_01.mp3	public/audio/candidates/batch-07/remediated-music/incompetech_meditation_impromptu_01.remediated.mp3	ac1332a12fe020cbeee206c7f33a82e29109d5ce63636e3302454e3bdfc36187	2e489e6dfe437014fb3eb0cf9a701d59db54f10b293d0bf2aeca4448500d4f96	3752486	212.793479	mp3	48000	2	warn	100ms jump 82.12 dB	-18.51	-1.96	-4.81	105.72	0	6	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 review copy	warn	100ms jump 105.72 dB	candidate_remediation_review
batch-07	incompetech-meditation-impromptu-02	Meditation Impromptu 02	Kevin MacLeod	public/audio/candidates/batch-07/music/incompetech_meditation_impromptu_02.mp3	public/audio/candidates/batch-07/remediated-music/incompetech_meditation_impromptu_02.remediated.mp3	4e7ead76cfdda0979ff7d771fbbc3dbb312ca80ce25b78f3cdcaef07fcc7c2da	1e7fa8a25041be3de7051f1933a0a9e71d62bf549d80d90879f817c0898042ae	4441598	249.077563	mp3	48000	2	warn	100ms jump 24.53 dB	-18.59	-1.97	-2	25.05	0	0	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 review copy	warn	100ms jump 25.05 dB	candidate_remediation_review
batch-07	incompetech-meditation-impromptu-03	Meditation Impromptu 03	Kevin MacLeod	public/audio/candidates/batch-07/music/incompetech_meditation_impromptu_03.mp3	public/audio/candidates/batch-07/remediated-music/incompetech_meditation_impromptu_03.remediated.mp3	91a74559a209eeeb6c8057bd3403218a39563b6b148a015d7d3c2c8204d595c8	7ab15fbe63eff8df3377fa3c99dfdd550f3afde2eb54676bfd483aa8f6f8639a	4609934	255.216979	mp3	48000	2	warn	100ms jump 98.28 dB	-18.9	-1.97	-1.98	103.1	0	18	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 review copy	warn	100ms jump 103.1 dB	candidate_remediation_review
batch-07	scott-buckley-solace	Solace	Scott Buckley	public/audio/candidates/batch-07/music/scott_buckley_solace.mp3	public/audio/candidates/batch-07/remediated-music/scott_buckley_solace.remediated.mp3	bb54696d9b49e60d8e9edc25d80c19a975d25b3c8d8ca32afe4d963372e1d1bf	7140717ed726963612b9398a225bcf7b96a515743a7c4f4fb60cf6704c4c73a8	8149170	356.355875	mp3	48000	2	warn	100ms jump 81.8 dB	-17.38	-2	-2	81.77	0	12	ffmpeg loudnorm I=-18 LRA=10 TP=-2, stereo, 48kHz MP3 review copy	warn	100ms jump 81.77 dB	candidate_remediation_review
