batch_id	candidate_id	title	family	role	source_platform	source_creator	source_url	download_url	license_name	license_url	attribution_required	local_path	source_sha256	duration_seconds	sample_rate	channels	integrated_lufs	sample_peak_dbfs	max_100ms_rms_jump_db	machine_status	semantic_listening_status	no_human_listening_status	loop_qa_status	promotion_allowed
batch-09	room_apartment_small	Small Apartment Room Tone	room_tone	environment.scene	Freesound via Openverse	leonelmail	https://freesound.org/people/leonelmail/sounds/329568	https://cdn.freesound.org/previews/329/329568_4437257-hq.mp3	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	public/audio/candidates/batch-09/authentic-indoor/room_apartment_small.mp3	7fed2f5ab6ea19de51f0de71e31e124dee7399364d8e5821b87c31fdb4a9b0fb	46.068	44100	2	-33.88	-19.52	10.47	pass	pending	pending	pending	false
batch-09	room_bedroom_night	Bedroom Night Room Tone	room_tone	environment.scene	Freesound via Openverse	franciscopcoutinho	https://freesound.org/people/franciscopcoutinho/sounds/466123	https://cdn.freesound.org/previews/466/466123_5547533-hq.mp3	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	public/audio/candidates/batch-09/authentic-indoor/room_bedroom_night.mp3	994ad9ddd65aec5615cd88c2450d39b8cbf2e44cf1a6171ececbd9014fc51af2	180.353	48000	2	-67.62	-50.21	8.23	pass	pending	pending	pending	false
batch-09	room_office_distant_traffic	Office Room Tone with Distant Traffic	room_tone	environment.scene	Freesound via Openverse	mzui	https://freesound.org/people/mzui/sounds/135097	https://cdn.freesound.org/previews/135/135097_658546-hq.mp3	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	public/audio/candidates/batch-09/authentic-indoor/room_office_distant_traffic.mp3	7e8060be99b6afb0049e1a5aab9cb41054c3bfc6d835ea16f37a2f2de4425d97	66.327	48000	2	-49.37	-35.94	6.23	pass	pending	pending	pending	false
batch-09	fan_ceiling_roomtone	Old Ceiling Fan with Room Tone	fan	environment.scene	Freesound via Openverse	seventhsamurai	https://freesound.org/people/seventhsamurai/sounds/327449	https://cdn.freesound.org/previews/327/327449_3288322-hq.mp3	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	public/audio/candidates/batch-09/authentic-indoor/fan_ceiling_roomtone.mp3	93c15a496824919975d1045d6c2aa2e763a07476e31c33f7c224590d12ac9640	86.57	44100	2	-36.14	-5.81	36.03	fail	pending	pending	pending	false
batch-09	fan_deep_ventilation	Deep Ventilation Room Tone	fan	environment.scene	Freesound via Openverse	Kinoton	https://freesound.org/people/Kinoton/sounds/503255	https://cdn.freesound.org/previews/503/503255_2247456-hq.mp3	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	public/audio/candidates/batch-09/authentic-indoor/fan_deep_ventilation.mp3	db2dff0746a90178be31e751b64d4f5ec368b177d852129ca5149d17d7c90420	185.415	48000	2	-41.31	-28.63	6.26	pass	pending	pending	pending	false
batch-09	fan_mine_ventilation	Mine Ventilation Fan	fan	environment.scene	Wikimedia Commons	Work With Sounds / Technical Museum of Slovenia	https://commons.wikimedia.org/wiki/File:WWS_Ventilationfan.ogg	https://upload.wikimedia.org/wikipedia/commons/d/db/WWS_Ventilationfan.ogg	CC BY 4.0	https://creativecommons.org/licenses/by/4.0	true	public/audio/candidates/batch-09/authentic-indoor/fan_mine_ventilation.ogg	02e12351aac5300df5b6b668ac6e9e0baf690632532f1673464d10c8d9a802b1	72.997	48000	2	-13.01	-1.41	9.68	pass	pending	pending	pending	false
batch-09	train_taiwan_ep727	Taiwan Rail Car EP727 Interior	train_carriage	environment.scene	Wikimedia Commons	Jidanni	https://commons.wikimedia.org/wiki/File:Taiwan_railways_EP727_train_cars_sounds.ogg	https://upload.wikimedia.org/wikipedia/commons/8/83/Taiwan_railways_EP727_train_cars_sounds.ogg	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	false	public/audio/candidates/batch-09/authentic-indoor/train_taiwan_ep727.ogg	014f05f4424fcaa0c72899e40414d87d39c6fbe85bb79142f6df61548826c172	148.555	44100	1	-28.44	-5.33	10.53	pass	pending	pending	pending	false
batch-09	air_conditioner_hum_1	Air Conditioner Hum 1	air_conditioner	environment.scene	Wikimedia Commons	Gravity Sound	https://commons.wikimedia.org/wiki/File:Air_conditioner_hum_(Gravity_Sound).wav	https://upload.wikimedia.org/wikipedia/commons/9/99/Air_conditioner_hum_%28Gravity_Sound%29.wav	CC BY 4.0	https://creativecommons.org/licenses/by/4.0	true	public/audio/candidates/batch-09/authentic-indoor/air_conditioner_hum_1.wav	bac546ddd06be356facb3dd9c842635afad312412fe058e14d7e2fb07e4f34d0	14	44100	2	-19.5	-6.98	4.08	pass	pending	pending	pending	false
batch-09	air_conditioner_hum_2	Air Conditioner Hum 2	air_conditioner	environment.scene	Wikimedia Commons	Gravity Sound	https://commons.wikimedia.org/wiki/File:Air_conditioner_hum_2_(Gravity_Sound).wav	https://upload.wikimedia.org/wikipedia/commons/d/dc/Air_conditioner_hum_2_%28Gravity_Sound%29.wav	CC BY 4.0	https://creativecommons.org/licenses/by/4.0	true	public/audio/candidates/batch-09/authentic-indoor/air_conditioner_hum_2.wav	bb9e9358e2b7041cab8f35d93e712727ddccc3490d075ef907b0923bbb0a1861	18	44100	2	-27.04	-16.8	2.26	pass	pending	pending	pending	false
