batch_id	candidate_id	title	creator	source_platform	source_url	source_snapshot_path	license_name	license_url	license_snapshot_path	attribution_required	commercial_use_allowed	derivative_use_allowed	raw_redistribution_allowed	rights_status	download_url	local_path	imported_at	file_sha256	file_size_bytes	duration_seconds	codec	sample_rate	channels	integrated_lufs	sample_peak_dbfs	opening_20s_peak_dbfs	max_100ms_rms_jump_db	clipped_sample_count	interior_silence_100ms_frames	duplicate_of	target_goals	suggested_role	machine_qa	machine_qa_notes	qa_status
batch-07	fma-holizna-meditation-01	20 Minute Meditation 1	HoliznaCC0	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/20-minute-meditation-1/	docs/license-snapshots/batch-07/fma-holizna-meditation-01.source.html	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	docs/license-snapshots/batch-07/cc0-1-0.license.html	false	true	true	false	album_license_verified_individual_recheck	https://files.freemusicarchive.org/storage-freemusicarchive-org/tracks/l2voOrqtnup186CFblGiKMvKziL9LmSR26D3INpG.mp3	public/audio/candidates/batch-07/music/fma_holizna_20_minute_meditation_1.mp3	2026-07-13T20:02:26.391Z	f0dcdd8058815cf31dee84996d666e81e595841ed874539fbf920f91e77ff50f	51199885	1279.96	mp3	48000	2	-10.88	0.02	-0.04	14.21	409	95		calm,sleep	music.bed	warn	409 clipped samples; peak 0.02 dBFS; 95 interior silence frames	candidate
batch-07	fma-holizna-dreamscape	DreamScape	HoliznaCC0	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/dreamscape/	docs/license-snapshots/batch-07/fma-holizna-dreamscape.source.html	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	docs/license-snapshots/batch-07/cc0-1-0.license.html	false	true	true	false	album_license_verified_individual_recheck	https://files.freemusicarchive.org/storage-freemusicarchive-org/tracks/F8rsaDXQBxNNiQQSNmpO2RBULw8LxtHpjQPY8Gpi.mp3	public/audio/candidates/batch-07/music/fma_holizna_dreamscape.mp3	2026-07-13T20:02:33.395Z	77d7ef473cbed4164af43d1a7c8db871be83dfaa819e345517e9a61decb871dc	52800205	1319.96	mp3	48000	2	-10.83	0.05	0.01	16.71	4943	76		sleep,calm	music.bed	warn	4943 clipped samples; peak 0.05 dBFS; 76 interior silence frames	candidate
batch-07	fma-holizna-rain-sleep	Rain / Sleep / Meditation	HoliznaCC0	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/rain-sleep-meditation/	docs/license-snapshots/batch-07/fma-holizna-rain-sleep.source.html	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	docs/license-snapshots/batch-07/cc0-1-0.license.html	false	true	true	false	album_license_verified_individual_recheck	https://files.freemusicarchive.org/storage-freemusicarchive-org/tracks/vDmea5mQNa3Q6MYw4uHfU1rh93apZ2YlfGQxM18v.mp3	public/audio/candidates/batch-07/music/fma_holizna_rain_sleep_meditation.mp3	2026-07-13T20:02:39.349Z	52e2f60e4d9113e5af95798ac15e945f606921bdd6237fd74ceba103d66fd615	35040205	875.96	mp3	48000	2	-14.73	-1.41	-3.1	25.58	0	151		sleep,calm	music.bed	warn	100ms jump 25.58 dB; 151 interior silence frames	candidate
batch-07	fma-holizna-cosmic-waves	Cosmic Waves	HoliznaCC0	Free Music Archive	https://freemusicarchive.org/music/holiznacc0/space-sleep-meditation/cosmic-waves/	docs/license-snapshots/batch-07/fma-holizna-cosmic-waves.source.html	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	docs/license-snapshots/batch-07/cc0-1-0.license.html	false	true	true	false	album_license_verified_individual_recheck	https://files.freemusicarchive.org/storage-freemusicarchive-org/tracks/Ezl0hehTpT9uZOQSob72CXcbH1TSnfCpUG0khDQG.mp3	public/audio/candidates/batch-07/music/fma_holizna_cosmic_waves.mp3	2026-07-13T20:02:48.393Z	36b605312a3bf5cd746b0ccfdd700dd96d611401ee8455c0334dea245b26d884	79383565	1984.55	mp3	48000	2	-15.98	-1.5	-8.65	41.47	0	12		sleep,calm	music.bed	warn	100ms jump 41.47 dB	candidate
batch-07	incompetech-meditation-impromptu-01	Meditation Impromptu 01	Kevin MacLeod	Incompetech	https://incompetech.com/music/royalty-free/index.html?Search=Search&isrc=USUAN1100163	docs/license-snapshots/batch-07/incompetech-meditation-impromptu-01.source.html	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	docs/license-snapshots/batch-07/cc-by-4-0.license.html	true	true	true	false	item_license_verified	https://incompetech.com/music/royalty-free/mp3-royaltyfree/Meditation%20Impromptu%2001.mp3	public/audio/candidates/batch-07/music/incompetech_meditation_impromptu_01.mp3	2026-07-13T20:02:59.440Z	ac1332a12fe020cbeee206c7f33a82e29109d5ce63636e3302454e3bdfc36187	7042622	212.82	mp3	44100	2	-23.29	-2.07	-9.62	82.12	0	14		calm,sleep	music.bed	warn	100ms jump 82.12 dB	candidate
batch-07	incompetech-meditation-impromptu-02	Meditation Impromptu 02	Kevin MacLeod	Incompetech	https://incompetech.com/music/royalty-free/index.html?Search=Search&isrc=USUAN1100162	docs/license-snapshots/batch-07/incompetech-meditation-impromptu-02.source.html	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	docs/license-snapshots/batch-07/cc-by-4-0.license.html	true	true	true	false	item_license_verified	https://incompetech.com/music/royalty-free/mp3-royaltyfree/Meditation%20Impromptu%2002.mp3	public/audio/candidates/batch-07/music/incompetech_meditation_impromptu_02.mp3	2026-07-13T20:03:04.268Z	4e7ead76cfdda0979ff7d771fbbc3dbb312ca80ce25b78f3cdcaef07fcc7c2da	8261798	249.10	mp3	44100	2	-23.05	-2.41	-5.94	24.53	0	4		calm,sleep	music.bed	warn	100ms jump 24.53 dB	candidate
batch-07	incompetech-meditation-impromptu-03	Meditation Impromptu 03	Kevin MacLeod	Incompetech	https://incompetech.com/music/royalty-free/index.html?Search=Search&isrc=USUAN1100161	docs/license-snapshots/batch-07/incompetech-meditation-impromptu-03.source.html	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	docs/license-snapshots/batch-07/cc-by-4-0.license.html	true	true	true	false	item_license_verified	https://incompetech.com/music/royalty-free/mp3-royaltyfree/Meditation%20Impromptu%2003.mp3	public/audio/candidates/batch-07/music/incompetech_meditation_impromptu_03.mp3	2026-07-13T20:03:09.107Z	91a74559a209eeeb6c8057bd3403218a39563b6b148a015d7d3c2c8204d595c8	8423717	255.24	mp3	44100	2	-22.5	-0.98	-6.51	98.28	0	46		calm,sleep	music.bed	warn	100ms jump 98.28 dB	candidate
batch-07	scott-buckley-solace	Solace	Scott Buckley	Scott Buckley	https://www.scottbuckley.com.au/library/solace/	docs/license-snapshots/batch-07/scott-buckley-solace.source.html	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	docs/license-snapshots/batch-07/cc-by-4-0.license.html	true	true	true	false	item_license_verified	https://www.scottbuckley.com.au/library/wp-content/uploads/2020/05/sb_solace.mp3	public/audio/candidates/batch-07/music/scott_buckley_solace.mp3	2026-07-13T20:03:15.324Z	bb54696d9b49e60d8e9edc25d80c19a975d25b3c8d8ca32afe4d963372e1d1bf	14257802	356.36	mp3	44100	2	-14.2	-1.07	-2.55	81.8	0	12		calm,focus	music.bed	warn	100ms jump 81.8 dB	candidate
